"x";"y";"ECa";"optional"
"1919";535183.8125;6247809.5;2.65294;TRUE
"1920";535192.125;6247819;2.25062;TRUE
"1921";535187.25;6247817.5;2.2541;TRUE
"1928";535205.6875;6247816;2.43087;TRUE
"1929";535197;6247820;2.12063;TRUE
"1930";535199.875;6247821;2.17027;TRUE
"1931";535257.8125;6247862.5;4.81051;TRUE
"1932";535260.6875;6247863.5;5.0255;TRUE
"1933";535263.5;6247864.5;5.50228;TRUE
"1934";535266.375;6247865;6.23538;TRUE
"1935";535286.6875;6247883;6.60763;TRUE
"1963";535137.75;6248098.5;3.01753;TRUE
"1964";535149.25;6248097.5;2.98768;TRUE
"1965";535144.0625;6248095;3.04931;TRUE
"1966";535152.6875;6248099;2.83443;TRUE
"1967";535135.25;6248097;2.78158;TRUE
"1968";535130.75;6248094;2.4682;TRUE
"1969";535129.5625;6248096;2.31148;TRUE
"1970";535125.375;6248098;2.38544;TRUE
"1976";535158.25;6248108;2.29073;TRUE
"1977";535158.125;6248110.5;2.48963;TRUE
"1980";535156.125;6248100.5;2.77617;TRUE
"1981";535159.375;6248102;2.65495;TRUE
"1988";535274.1875;6248011.5;3.5965;TRUE
"1989";535273.75;6248004;3.97695;TRUE
"1990";535274.3125;6247995;4.45426;TRUE
"1991";535275;6247989;4.50023;TRUE
"2001";535266.5;6248047.5;3.16778;TRUE
"2002";535266.75;6248039;3.10917;TRUE
"2003";535267.75;6248032;3.14325;TRUE
"2004";535269.6875;6248026;3.14276;TRUE
"2005";535271.25;6248059.5;3.74355;TRUE
"2006";535269.6875;6248057;3.73899;TRUE
"2007";535264.625;6248063.5;4.13536;TRUE
"2008";535267.625;6248063.5;4.12895;TRUE
"2009";535264.1875;6248054.5;3.57749;TRUE
"2010";535271.1875;6248019.5;3.30074;TRUE
"2011";535276;6248062.5;4.04477;TRUE
"2012";535269.5625;6248079;5.15019;TRUE
"2013";535268.1875;6248085.5;4.79283;TRUE
"2014";535271.5625;6248074.5;5.00967;TRUE
"2015";535268.4375;6248077;5.26178;TRUE
"2018";535265.625;6248092;4.08207;TRUE
"2019";535265.5;6248095;3.88858;TRUE
"2020";535267.6875;6248087;4.56339;TRUE
"2021";535266.9375;6248090.5;4.26146;TRUE
"2022";535265.6875;6248089;4.37318;TRUE
"2023";535264;6248097.5;3.71345;TRUE
"2025";535258.6875;6248106;3.57956;TRUE
"2026";535261.6875;6248106.5;3.54431;TRUE
"2027";535261.0625;6248097;3.89415;TRUE
"2168";535268.9375;6247973;6.34775;TRUE
"2169";535269.5625;6247962.5;6.78502;TRUE
"2170";535268.6875;6247956;7.24188;TRUE
"2171";535269.4375;6247948.5;7.19356;TRUE
"2172";535272.875;6247942;6.52273;TRUE
"2173";535268.9375;6247979.5;6.07117;TRUE
"2174";535272.125;6247988;5.11887;TRUE
"2175";535269.25;6247987;5.53076;TRUE
"2176";535274.9375;6247933.5;6.87947;TRUE
"2177";535276.25;6247927.5;6.218;TRUE
"2178";535274.875;6247910;5.72897;TRUE
"2179";535273.625;6247916;5.73171;TRUE
"2180";535274.875;6247903;6.05266;TRUE
"2181";535280;6247894.5;6.64726;TRUE
"2182";535283.8125;6247888.5;6.71663;TRUE
"2183";535273.375;6247927;6.68884;TRUE
"2184";535283.8125;6247882;6.76679;TRUE
