XUTM,YUTM,EC 0-0.25 m
507709.03125,6082875.00000,1.53867
507708.15625,6082875.50000,1.57404
507709.90625,6082875.00000,1.49483
507710.21875,6082875.00000,1.49489
507710.37500,6082874.50000,1.45203
507711.28125,6082874.00000,1.40043
507711.06250,6082874.50000,1.45761
507712.53125,6082874.00000,1.45628
507711.84375,6082874.00000,1.39746
507713.21875,6082873.50000,1.42746
507712.84375,6082874.00000,1.48151
507713.84375,6082873.50000,1.44529
507721.75000,6082878.00000,2.72391
507721.50000,6082877.00000,2.50683
507727.37500,6082878.00000,2.91816
507722.43750,6082879.00000,2.89136
507722.21875,6082879.00000,2.96583
507725.12500,6082878.50000,2.94104
507724.68750,6082879.00000,3.11542
507726.06250,6082879.00000,3.04908
507730.15625,6082873.00000,1.83027
507731.09375,6082873.50000,1.85937
507727.96875,6082878.00000,3.02365
507728.65625,6082877.50000,2.92303
507729.71875,6082877.00000,2.65201
507730.21875,6082876.00000,2.47317
507731.75000,6082875.00000,2.23669
507731.46875,6082874.00000,2.00219
507719.15625,6082876.50000,2.31658
507720.34375,6082877.00000,2.33053
507731.43750,6082873.00000,1.72747
507731.78125,6082872.00000,1.60749
507732.28125,6082871.50000,1.52833
507732.46875,6082871.00000,1.50725
507732.96875,6082870.50000,1.48334
507733.56250,6082870.00000,1.44954
507733.96875,6082870.50000,1.43159
507734.34375,6082871.00000,1.44330
507704.68750,6082875.00000,1.47928
507706.12500,6082876.00000,1.62178
507704.75000,6082875.00000,1.57148
507705.34375,6082876.00000,1.68103
507707.28125,6082875.50000,1.61323
507703.78125,6082875.00000,1.52818
507702.34375,6082875.50000,1.61159
507701.62500,6082876.00000,1.72200
507702.90625,6082875.50000,1.56984
507706.59375,6082876.50000,1.68408
507740.75000,6082870.00000,1.42013
507741.75000,6082870.00000,1.44045
507742.09375,6082870.00000,1.43913
507739.68750,6082870.00000,1.39981
507743.84375,6082869.00000,1.35282
507743.06250,6082870.00000,1.46450
507699.40625,6082876.00000,1.82017
507698.65625,6082876.50000,1.88068
507698.31250,6082877.50000,2.08780
507696.68750,6082877.50000,2.14394
507696.96875,6082877.50000,2.14910
507749.34375,6082867.50000,1.59143
507746.09375,6082870.50000,1.77140
507747.00000,6082871.00000,1.85449
507748.21875,6082871.50000,1.92730
507749.40625,6082868.00000,1.69552
507749.18750,6082872.00000,2.00383
507750.84375,6082870.50000,1.97660
507745.25000,6082870.00000,1.63855
507735.31250,6082871.00000,1.43702
507736.31250,6082871.00000,1.38557
