ID;UTME;UTMN;clay;T_0002_0020;T_0020_0050;T_0050_0200;T_0200_2000;SOM;SOC
111;534956.52;6247976.10;11.08;7.83;14.53;17.78;48.78;1.60;0.94
113;534950.72;6247995.20;9.59;9.80;10.71;29.18;40.71;2.00;1.17
115;534945.02;6248014.30;10.22;9.82;9.51;26.99;43.46;2.20;1.29
123;535038.72;6247771.20;10.86;13.22;14.34;29.41;32.07;2.40;1.41
125;535033.02;6247790.30;9.23;14.87;13.03;30.05;32.82;2.50;1.47
127;535027.22;6247809.50;10.86;13.32;13.93;26.02;35.96;2.40;1.41
129;535021.52;6247828.60;10.25;14.34;11.99;29.51;33.81;2.40;1.41
131;535015.82;6247847.80;9.84;13.32;14.65;27.15;35.14;2.40;1.41
135;535010.02;6247866.90;8.74;15.01;13.26;28.78;34.22;2.70;1.58
137;535004.32;6247886.10;6.69;11.72;10.25;23.33;48.01;4.40;2.58
139;534998.62;6247905.20;5.15;11.13;7.67;26.16;49.79;4.80;2.82
141;534992.82;6247924.40;5.54;9.33;8.72;22.87;53.44;2.50;1.47
143;534987.12;6247943.50;8.62;10.87;8.62;25.74;46.05;2.50;1.47
145;534981.42;6247962.60;7.57;9.92;9.10;21.98;51.53;2.20;1.29
147;534975.62;6247981.80;9.08;9.80;14.49;19.90;46.63;2.00;1.17
149;534969.92;6248000.90;8.57;10.82;12.86;15.92;51.84;2.00;1.17
151;534964.22;6248020.10;9.58;9.79;11.52;20.90;48.22;1.90;1.12
159;535057.82;6247776.90;14.39;17.57;12.54;24.87;30.63;2.70;1.58
161;535052.12;6247796.10;10.35;14.34;11.78;30.43;33.20;2.40;1.41
163;535046.42;6247815.20;11.34;13.28;13.38;28.19;33.81;2.10;1.23
165;535040.62;6247834.40;11.25;13.29;13.29;29.14;32.92;2.20;1.29
167;535034.92;6247853.50;11.37;13.83;12.91;27.77;34.12;2.40;1.41
169;535029.22;6247872.60;11.26;12.28;14.53;24.87;37.05;2.30;1.35
171;535023.42;6247891.80;9.14;11.40;12.53;25.05;41.89;2.60;1.53
173;535017.72;6247910.90;5.53;8.40;8.09;25.10;52.87;2.40;1.41
175;535012.02;6247930.10;5.00;6.33;6.53;23.06;59.08;2.00;1.17
177;535006.22;6247949.20;7.09;10.38;9.66;23.74;49.13;2.70;1.58
179;535000.52;6247968.40;8.20;10.35;9.22;25.41;46.93;2.40;1.41
181;534994.82;6247987.50;9.60;10.83;11.75;21.14;46.58;2.10;1.23
183;534989.02;6248006.70;9.18;10.31;13.06;18.37;49.18;2.00;1.17
185;534983.32;6248025.80;9.09;10.32;10.11;26.25;44.13;2.10;1.23
187;535077.02;6247782.70;13.74;15.08;12.10;26.67;32.41;2.50;1.47
189;535071.32;6247801.80;12.37;13.80;12.78;29.35;31.80;2.20;1.29
191;535065.52;6247820.90;12.87;13.28;13.18;27.58;33.09;2.10;1.23
193;535059.82;6247840.10;11.84;14.29;12.35;28.47;33.06;2.00;1.17
195;535054.12;6247859.20;9.89;15.45;13.49;27.29;33.88;2.90;1.70
197;535048.32;6247878.40;9.23;12.31;10.87;20.41;47.08;2.50;1.47
199;535042.62;6247897.50;9.22;11.27;12.50;23.87;43.14;2.40;1.41
201;535036.92;6247916.70;7.38;9.44;11.71;24.73;46.75;7.80;4.58
203;535031.12;6247935.80;7.06;9.55;6.75;20.98;55.56;3.70;2.17
205;535025.42;6247955.00;8.74;11.03;6.76;23.93;49.43;3.90;2.29
207;535019.72;6247974.10;8.63;11.00;8.22;23.95;48.20;2.70;1.58
209;535013.92;6247993.30;10.10;8.88;12.96;19.18;48.88;2.00;1.17
211;535008.22;6248012.40;11.76;12.37;8.59;22.49;44.79;2.20;1.29
213;535002.52;6248031.50;9.19;10.32;13.69;22.06;44.74;2.10;1.23
215;535096.12;6247788.40;10.32;13.28;12.67;29.52;34.22;2.10;1.23
217;535090.42;6247807.50;11.37;15.37;14.04;28.48;30.74;2.40;1.41
219;535084.72;6247826.70;11.87;13.72;15.76;27.74;30.91;2.30;1.35
221;535078.92;6247845.80;12.38;15.35;13.72;28.76;29.89;2.30;1.35
223;535073.22;6247865.00;9.93;14.64;16.58;26.92;31.93;2.30;1.35
225;535067.52;6247884.10;10.27;14.48;15.09;28.23;32.03;2.60;1.53
227;535061.72;6247903.30;9.12;11.89;9.94;24.08;44.98;2.40;1.41
229;535056.02;6247922.40;8.12;8.94;11.65;25.18;46.12;15.00;8.80
231;535050.32;6247941.60;11.40;10.03;15.79;26.94;35.96;20.20;11.86
233;535044.52;6247960.70;13.60;9.39;17.31;22.74;36.96;19.10;11.21
237;535038.82;6247979.80;9.69;7.15;18.45;25.49;39.22;13.30;7.81
239;535033.12;6247999.00;10.25;10.35;15.27;20.29;43.85;2.40;1.41
241;535027.32;6248018.10;11.31;7.65;10.09;27.42;43.53;1.90;1.12
243;535021.62;6248037.30;6.79;5.88;4.56;26.24;56.43;1.30;0.76
245;535115.32;6247794.10;9.68;11.31;13.56;29.56;35.88;1.90;1.12
247;535109.52;6247813.30;10.38;16.44;12.95;29.39;30.83;2.70;1.58
249;535103.82;6247832.40;11.87;13.72;15.35;27.84;31.22;2.30;1.35
251;535098.12;6247851.60;13.28;14.81;13.18;29.01;29.62;2.10;1.23
253;535092.32;6247870.70;12.49;14.64;14.74;28.15;29.89;2.30;1.35
255;535086.62;6247889.80;11.78;14.34;12.40;29.92;31.45;2.40;1.41
257;535080.92;6247909.00;8.72;11.38;11.79;28.00;40.10;2.50;1.47
259;535075.12;6247928.10;7.14;12.51;9.51;23.16;47.57;3.30;1.94
261;535069.42;6247947.30;NA;NA;NA;NA;NA;34.10;20.02
263;535063.72;6247966.40;NA;NA;NA;NA;NA;26.40;15.50
265;535057.92;6247985.60;9.35;7.81;12.90;24.26;45.56;15.50;9.10
267;535052.22;6248004.70;7.68;10.06;9.54;26.35;46.47;3.60;2.11
269;535046.52;6248023.90;10.11;9.81;10.73;22.06;47.19;2.10;1.23
271;535040.72;6248043.00;6.92;7.32;8.55;21.57;55.65;1.70;1.00
273;535134.42;6247799.90;9.18;11.73;13.27;30.00;35.82;2.00;1.17
275;535128.72;6247819.00;9.92;17.56;12.29;26.45;33.88;3.20;1.88
277;535123.02;6247838.10;11.38;14.26;13.23;24.72;36.41;2.50;1.47
279;535117.22;6247857.30;12.90;15.86;12.59;29.99;28.66;2.30;1.35
281;535111.52;6247876.40;11.49;14.67;15.08;28.21;30.56;2.50;1.47
283;535105.82;6247895.60;9.37;12.87;12.46;28.53;36.87;2.90;1.70
285;535100.02;6247914.70;6.77;11.04;10.00;27.08;45.21;4.00;2.35
287;535094.32;6247933.90;7.87;10.32;12.87;22.02;46.91;6.00;3.52
289;535088.62;6247953.00;8.80;6.87;10.72;25.18;48.31;17.00;9.98
291;535082.82;6247972.20;NA;NA;NA;NA;NA;30.50;17.90
293;535077.12;6247991.30;NA;NA;NA;NA;NA;38.80;22.78
297;535071.42;6248010.50;9.38;8.04;14.29;26.12;42.19;10.40;6.10
299;535065.62;6248029.60;7.46;8.38;10.63;22.80;50.72;2.20;1.29
301;535059.92;6248048.70;6.42;7.44;7.03;21.20;58.00;1.90;1.12
305;535153.62;6247805.60;9.07;9.79;13.66;29.46;37.92;1.90;1.12
307;535147.82;6247824.70;10.64;17.62;12.30;27.32;32.12;4.10;2.41
309;535142.12;6247843.90;10.99;15.30;15.40;28.54;29.77;2.60;1.53
311;535136.42;6247863.00;11.89;16.29;13.42;29.41;29.00;2.40;1.41
313;535130.62;6247882.20;9.95;16.82;14.56;27.18;31.49;2.50;1.47
315;535124.92;6247901.30;10.19;13.48;10.80;28.91;36.52;2.80;1.64
317;535119.22;6247920.50;6.65;11.54;9.88;22.35;49.58;3.80;2.23
319;535113.42;6247939.60;9.06;8.83;13.76;23.97;44.50;12.80;7.51
321;535107.72;6247958.80;12.22;10.51;15.28;23.35;38.75;18.20;10.68
323;535102.02;6247977.90;12.56;9.77;20.05;23.35;34.39;21.20;12.44
325;535096.22;6247997.00;NA;NA;NA;NA;NA;26.90;15.79
329;535090.52;6248016.20;12.15;10.42;14.00;25.58;37.85;13.60;7.98
331;535084.82;6248035.30;6.95;8.38;7.98;24.03;52.56;2.20;1.29
333;535079.02;6248054.50;6.43;7.86;9.80;19.18;56.73;2.00;1.17
341;535172.72;6247811.30;8.15;10.30;12.23;29.77;39.65;1.90;1.12
343;535167.02;6247830.50;7.81;12.23;15.42;30.32;34.12;2.70;1.58
345;535161.22;6247849.60;10.70;17.96;15.68;27.31;28.45;3.70;2.17
347;535155.52;6247868.80;12.02;17.37;14.18;27.13;29.39;2.70;1.58
349;535149.82;6247887.90;10.24;13.31;12.79;28.56;35.01;2.30;1.35
351;535144.02;6247907.00;9.73;13.42;11.27;25.82;39.86;2.40;1.41
353;535138.32;6247926.20;8.21;11.79;9.23;22.56;48.10;2.50;1.47
355;535132.62;6247945.30;8.32;11.55;7.28;22.48;50.47;3.90;2.29
357;535126.82;6247964.50;10.43;9.54;13.76;22.97;43.29;9.90;5.81
359;535121.12;6247983.60;9.27;8.50;14.46;21.19;46.58;9.40;5.52
361;535115.42;6248002.80;9.10;9.43;13.43;21.13;46.91;7.70;4.52
365;535109.62;6248021.90;8.27;10.58;13.40;17.80;49.84;4.50;2.64
367;535103.92;6248041.10;7.58;9.43;12.60;19.06;51.33;2.40;1.41
369;535098.22;6248060.20;6.95;8.90;7.77;23.01;53.37;2.20;1.29
